date,price,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,block_subsidy_btc,non_zero_addr_count,addr_count_over_0p001_btc,addr_count_over_0p01_btc,addr_count_over_0p1_btc,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative,subsidy_daily,fees_daily,coindays_destroyed_daily,lth_transfer_volume_daily,lth_realized_profit_daily,lth_realized_loss_daily,sth_realized_profit_daily,sth_realized_loss_daily,utxos_over_1y_old_transfer_volume_daily,utxos_over_2y_old_transfer_volume_daily,utxos_over_3y_old_transfer_volume_daily,utxos_over_4y_old_transfer_volume_daily,utxos_over_5y_old_transfer_volume_daily,utxos_over_10y_old_transfer_volume_daily,market_cap_usd,days_since_genesis,years_since_genesis
2009-01-14,0.0,25700.0,25750.0,0.0,0.0,0.0,,25700.0,246.82204857,0.0,25700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462335.051851853,1.0,50.0,518.0,518.0,518.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6450.0,0.0,76.67424767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.030116358658453114
2009-01-15,0.0,32000.0,32050.0,0.0,0.0,0.0,,32000.0,926.0836225999999,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6313204.242962963,1.0,50.0,643.0,643.0,643.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,679.2615740299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.03285420944558522
2009-01-16,0.0,37400.0,37450.0,0.0,0.0,0.0,,37400.0,1334.7653355300001,0.0,37400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5368709.12,1.0,50.0,749.0,749.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,408.68171293000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.03559206023271732
2009-01-17,0.0,42850.0,42900.0,0.0,0.0,0.0,,42850.0,1334.7653355300001,0.0,42850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5418419.389629629,1.0,50.0,858.0,858.0,858.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.038329911019849415
2009-01-18,0.0,48200.0,48250.0,0.0,0.0,0.0,,48200.0,1670.8457753300002,0.0,48200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5368709.12,1.0,50.0,963.0,963.0,963.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5350.0,0.0,336.0804398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.04106776180698152
2009-01-19,0.0,53950.0,54000.0,0.0,0.0,0.0,,53950.0,4750.95225675,0.0,53950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5766391.277037038,1.0,50.0,1063.0,1063.0,1063.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5750.0,0.0,3080.10648142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.04380561259411362
2009-01-20,0.0,59650.0,59700.0,0.0,0.0,0.0,,59650.0,6258.08130763,0.0,59650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5666970.737777778,1.0,50.0,1170.0,1170.0,1170.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,0.0,1507.1290508800002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.04654346338124572
2009-01-21,0.0,64750.0,64800.0,0.0,0.0,0.0,,64750.0,6610.57146966,0.0,64750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716681.007407408,1.0,50.0,1271.0,1271.0,1271.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,352.49016202999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.049281314168377825
2009-01-22,0.0,69300.0,69350.0,0.0,0.0,0.0,,69300.0,8578.05295112,0.0,69300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4523634.536296297,1.0,50.0,1352.0,1352.0,1352.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4550.0,0.0,1967.4814814600004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.05201916495550993
2009-01-23,0.0,73500.0,73550.0,0.0,0.0,0.0,,73500.0,10213.12471034,0.0,73500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175662.6488888892,1.0,50.0,1428.0,1428.0,1428.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,1635.0717592199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.05475701574264202
2009-01-24,0.0,83550.0,83600.0,0.0,0.0,0.0,,83550.0,12578.466724169999,0.0,83550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10091184.734814817,1.0,50.0,1620.0,1620.0,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,0.0,2365.342013829999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.057494866529774126
