cohort_year,start_date,report_date,purchases,btc_held,sats_held,average_purchase_price_usd,spot_price_usd,btc_contributed_usd,cash_contributed_usd,total_contributed_usd,btc_value_usd,cash_value_usd,total_value_usd,btc_gain_usd,cash_interest_usd,total_gain_usd,cash_only_value_usd,advantage_vs_cash_usd,money_weighted_return_annualized,days_below_contributions,observed_days,worst_vs_contributions_date,worst_gain_to_contributions_ratio,still_contributing
2026,2026-01-01,2026-09-25,9,0.105453017532893,10545301.7532893,71121.7201315322,84074.17,7500,7500,15000,8865.87492307345,7589.43023215687,16455.3051552303,1365.87492307345,89.430232156873,1455.30515523032,15178.8604643137,1276.44469091658,0.256473293376635,160,268,2026-02-05,-0.110329755753573,True
2025,2025-01-01,2026-09-25,21,0.2057686923762,20576869.23762,85046.951496418,84074.17,17500,17500,35000,17299.8320235143,17973.7089020213,35273.5409255356,-200.167976485693,473.708902021317,273.540925535628,35947.4178040426,-673.876878507006,0.0086785163913371,385,633,2026-06-30,-0.161674186920612,True
2024,2024-01-01,2026-09-25,33,0.371016438970279,37101643.8970279,74120.7049378287,84074.17,27500,27500,55000,31192.8991627819,28669.4455735445,59862.3447363263,3692.89916278186,1169.44557354451,4862.34473632637,57338.891147089,2523.45358923735,0.0615448947190295,178,999,2026-06-30,-0.0916909551262338,True
2023,2023-01-01,2026-09-25,45,0.744867033345857,74486703.3345857,50344.5559022183,84074.17,37500,37500,75000,62624.0775889153,39686.5726001536,102310.650189069,25124.0775889153,2186.57260015356,27310.6501890689,79373.1452003071,22937.5049887617,0.168779121507233,3,1364,2023-03-10,-0.0107173239720809,True
2022,2022-01-01,2026-09-25,57,1.12421607512921,112421607.512921,42251.6641158514,84074.17,47500,47500,95000,94517.5334171457,51033.9838555768,145551.517272722,47017.5334171456,3533.98385557679,50551.5172727224,102067.967711154,43483.5495615689,0.181655515554624,413,1729,2022-06-18,-0.25676418907628,True
