cohort_year,date,btc_contribution_usd,cash_contribution_usd,total_contribution_usd,purchase_price_usd,btc_bought,cash_only_contribution_usd
2026,2026-01-01,833.333333333333,833.333333333333,1666.66666666667,88448.95,0.00942163059406961,1666.66666666667
2026,2026-02-01,833.333333333333,833.333333333333,1666.66666666667,76840.37,0.0108449937621765,1666.66666666667
2026,2026-03-01,833.333333333333,833.333333333333,1666.66666666667,65676.54,0.0126884475542307,1666.66666666667
2026,2026-04-01,833.333333333333,833.333333333333,1666.66666666667,68256.91,0.0122087761273303,1666.66666666667
2026,2026-05-01,833.333333333333,833.333333333333,1666.66666666667,78106.54,0.0106691876676823,1666.66666666667
2026,2026-06-01,833.333333333333,833.333333333333,1666.66666666667,71338.33,0.0116814247450611,1666.66666666667
2026,2026-07-01,833.333333333333,833.333333333333,1666.66666666667,60246.33,0.0138321011974229,1666.66666666667
2026,2026-08-01,833.333333333333,833.333333333333,1666.66666666667,62583.8,0.0133154799378327,1666.66666666667
2026,2026-09-01,833.333333333333,833.333333333333,1666.66666666667,77225.02,0.0107909759470873,1666.66666666667
2025,2025-01-01,833.333333333333,833.333333333333,1666.66666666667,94460.79,0.00882200258258833,1666.66666666667
2025,2025-02-01,833.333333333333,833.333333333333,1666.66666666667,100487.62,0.00829289551621716,1666.66666666667
2025,2025-03-01,833.333333333333,833.333333333333,1666.66666666667,85966.82,0.00969366243084638,1666.66666666667
2025,2025-04-01,833.333333333333,833.333333333333,1666.66666666667,85128.69,0.00978910086991041,1666.66666666667
2025,2025-05-01,833.333333333333,833.333333333333,1666.66666666667,96566.68,0.00862961565348766,1666.66666666667
2025,2025-06-01,833.333333333333,833.333333333333,1666.66666666667,105821.35,0.00787490741077612,1666.66666666667
2025,2025-07-01,833.333333333333,833.333333333333,1666.66666666667,105794.69,0.0078768918679504,1666.66666666667
2025,2025-08-01,833.333333333333,833.333333333333,1666.66666666667,113478.76,0.00734351814677331,1666.66666666667
2025,2025-09-01,833.333333333333,833.333333333333,1666.66666666667,108596.61,0.0076736588124927,1666.66666666667
2025,2025-10-01,833.333333333333,833.333333333333,1666.66666666667,117739.73,0.00707775814785148,1666.66666666667
2025,2025-11-01,833.333333333333,833.333333333333,1666.66666666667,109769.88,0.00759163928514209,1666.66666666667
2025,2025-12-01,833.333333333333,833.333333333333,1666.66666666667,86355.57,0.00965002411927028,1666.66666666667
2025,2026-01-01,833.333333333333,833.333333333333,1666.66666666667,88448.95,0.00942163059406961,1666.66666666667
2025,2026-02-01,833.333333333333,833.333333333333,1666.66666666667,76840.37,0.0108449937621765,1666.66666666667
2025,2026-03-01,833.333333333333,833.333333333333,1666.66666666667,65676.54,0.0126884475542307,1666.66666666667
2025,2026-04-01,833.333333333333,833.333333333333,1666.66666666667,68256.91,0.0122087761273303,1666.66666666667
2025,2026-05-01,833.333333333333,833.333333333333,1666.66666666667,78106.54,0.0106691876676823,1666.66666666667
2025,2026-06-01,833.333333333333,833.333333333333,1666.66666666667,71338.33,0.0116814247450611,1666.66666666667
2025,2026-07-01,833.333333333333,833.333333333333,1666.66666666667,60246.33,0.0138321011974229,1666.66666666667
2025,2026-08-01,833.333333333333,833.333333333333,1666.66666666667,62583.8,0.0133154799378327,1666.66666666667
2025,2026-09-01,833.333333333333,833.333333333333,1666.66666666667,77225.02,0.0107909759470873,1666.66666666667
2024,2024-01-01,833.333333333333,833.333333333333,1666.66666666667,43739.99,0.0190519781402175,1666.66666666667
2024,2024-02-01,833.333333333333,833.333333333333,1666.66666666667,42982.64,0.0193876721702839,1666.66666666667
2024,2024-03-01,833.333333333333,833.333333333333,1666.66666666667,62396.95,0.0133553536404157,1666.66666666667
2024,2024-04-01,833.333333333333,833.333333333333,1666.66666666667,69939.43,0.0119150718462151,1666.66666666667
2024,2024-05-01,833.333333333333,833.333333333333,1666.66666666667,57720.92,0.0144372843214095,1666.66666666667
2024,2024-06-01,833.333333333333,833.333333333333,1666.66666666667,67605.06,0.0123264935100026,1666.66666666667
2024,2024-07-01,833.333333333333,833.333333333333,1666.66666666667,63063.53,0.0132141878726632,1666.66666666667
2024,2024-08-01,833.333333333333,833.333333333333,1666.66666666667,65104.83,0.0127998695846888,1666.66666666667
2024,2024-09-01,833.333333333333,833.333333333333,1666.66666666667,57501.2,0.0144924511720335,1666.66666666667
2024,2024-10-01,833.333333333333,833.333333333333,1666.66666666667,60913.79,0.0136805365966119,1666.66666666667
2024,2024-11-01,833.333333333333,833.333333333333,1666.66666666667,69251.79,0.0120333833007542,1666.66666666667
2024,2024-12-01,833.333333333333,833.333333333333,1666.66666666667,97426.41,0.00855346443878342,1666.66666666667
2024,2025-01-01,833.333333333333,833.333333333333,1666.66666666667,94460.79,0.00882200258258833,1666.66666666667
2024,2025-02-01,833.333333333333,833.333333333333,1666.66666666667,100487.62,0.00829289551621716,1666.66666666667
2024,2025-03-01,833.333333333333,833.333333333333,1666.66666666667,85966.82,0.00969366243084638,1666.66666666667
2024,2025-04-01,833.333333333333,833.333333333333,1666.66666666667,85128.69,0.00978910086991041,1666.66666666667
2024,2025-05-01,833.333333333333,833.333333333333,1666.66666666667,96566.68,0.00862961565348766,1666.66666666667
2024,2025-06-01,833.333333333333,833.333333333333,1666.66666666667,105821.35,0.00787490741077612,1666.66666666667
2024,2025-07-01,833.333333333333,833.333333333333,1666.66666666667,105794.69,0.0078768918679504,1666.66666666667
2024,2025-08-01,833.333333333333,833.333333333333,1666.66666666667,113478.76,0.00734351814677331,1666.66666666667
2024,2025-09-01,833.333333333333,833.333333333333,1666.66666666667,108596.61,0.0076736588124927,1666.66666666667
2024,2025-10-01,833.333333333333,833.333333333333,1666.66666666667,117739.73,0.00707775814785148,1666.66666666667
2024,2025-11-01,833.333333333333,833.333333333333,1666.66666666667,109769.88,0.00759163928514209,1666.66666666667
2024,2025-12-01,833.333333333333,833.333333333333,1666.66666666667,86355.57,0.00965002411927028,1666.66666666667
2024,2026-01-01,833.333333333333,833.333333333333,1666.66666666667,88448.95,0.00942163059406961,1666.66666666667
2024,2026-02-01,833.333333333333,833.333333333333,1666.66666666667,76840.37,0.0108449937621765,1666.66666666667
2024,2026-03-01,833.333333333333,833.333333333333,1666.66666666667,65676.54,0.0126884475542307,1666.66666666667
2024,2026-04-01,833.333333333333,833.333333333333,1666.66666666667,68256.91,0.0122087761273303,1666.66666666667
2024,2026-05-01,833.333333333333,833.333333333333,1666.66666666667,78106.54,0.0106691876676823,1666.66666666667
2024,2026-06-01,833.333333333333,833.333333333333,1666.66666666667,71338.33,0.0116814247450611,1666.66666666667
2024,2026-07-01,833.333333333333,833.333333333333,1666.66666666667,60246.33,0.0138321011974229,1666.66666666667
2024,2026-08-01,833.333333333333,833.333333333333,1666.66666666667,62583.8,0.0133154799378327,1666.66666666667
2024,2026-09-01,833.333333333333,833.333333333333,1666.66666666667,77225.02,0.0107909759470873,1666.66666666667
2023,2023-01-01,833.333333333333,833.333333333333,1666.66666666667,16595.17,0.0502154140833347,1666.66666666667
2023,2023-02-01,833.333333333333,833.333333333333,1666.66666666667,23709.87,0.0351471068096676,1666.66666666667
2023,2023-03-01,833.333333333333,833.333333333333,1666.66666666667,23500.37,0.0354604345945759,1666.66666666667
2023,2023-04-01,833.333333333333,833.333333333333,1666.66666666667,28503.61,0.029236062847244,1666.66666666667
2023,2023-05-01,833.333333333333,833.333333333333,1666.66666666667,28152.76,0.0296004133638525,1666.66666666667
2023,2023-06-01,833.333333333333,833.333333333333,1666.66666666667,26877.81,0.0310045101640846,1666.66666666667
2023,2023-07-01,833.333333333333,833.333333333333,1666.66666666667,30551.17,0.0272766422147935,1666.66666666667
2023,2023-08-01,833.333333333333,833.333333333333,1666.66666666667,29263.66,0.0284767296139079,1666.66666666667
2023,2023-09-01,833.333333333333,833.333333333333,1666.66666666667,25727.98,0.0323901578488997,1666.66666666667
2023,2023-10-01,833.333333333333,833.333333333333,1666.66666666667,27868.77,0.0299020492592007,1666.66666666667
2023,2023-11-01,833.333333333333,833.333333333333,1666.66666666667,35329.73,0.0235873111210681,1666.66666666667
2023,2023-12-01,833.333333333333,833.333333333333,1666.66666666667,38663.01,0.0215537624549494,1666.66666666667
2023,2024-01-01,833.333333333333,833.333333333333,1666.66666666667,43739.99,0.0190519781402175,1666.66666666667
2023,2024-02-01,833.333333333333,833.333333333333,1666.66666666667,42982.64,0.0193876721702839,1666.66666666667
2023,2024-03-01,833.333333333333,833.333333333333,1666.66666666667,62396.95,0.0133553536404157,1666.66666666667
2023,2024-04-01,833.333333333333,833.333333333333,1666.66666666667,69939.43,0.0119150718462151,1666.66666666667
2023,2024-05-01,833.333333333333,833.333333333333,1666.66666666667,57720.92,0.0144372843214095,1666.66666666667
2023,2024-06-01,833.333333333333,833.333333333333,1666.66666666667,67605.06,0.0123264935100026,1666.66666666667
2023,2024-07-01,833.333333333333,833.333333333333,1666.66666666667,63063.53,0.0132141878726632,1666.66666666667
2023,2024-08-01,833.333333333333,833.333333333333,1666.66666666667,65104.83,0.0127998695846888,1666.66666666667
2023,2024-09-01,833.333333333333,833.333333333333,1666.66666666667,57501.2,0.0144924511720335,1666.66666666667
2023,2024-10-01,833.333333333333,833.333333333333,1666.66666666667,60913.79,0.0136805365966119,1666.66666666667
2023,2024-11-01,833.333333333333,833.333333333333,1666.66666666667,69251.79,0.0120333833007542,1666.66666666667
2023,2024-12-01,833.333333333333,833.333333333333,1666.66666666667,97426.41,0.00855346443878342,1666.66666666667
2023,2025-01-01,833.333333333333,833.333333333333,1666.66666666667,94460.79,0.00882200258258833,1666.66666666667
2023,2025-02-01,833.333333333333,833.333333333333,1666.66666666667,100487.62,0.00829289551621716,1666.66666666667
2023,2025-03-01,833.333333333333,833.333333333333,1666.66666666667,85966.82,0.00969366243084638,1666.66666666667
2023,2025-04-01,833.333333333333,833.333333333333,1666.66666666667,85128.69,0.00978910086991041,1666.66666666667
2023,2025-05-01,833.333333333333,833.333333333333,1666.66666666667,96566.68,0.00862961565348766,1666.66666666667
2023,2025-06-01,833.333333333333,833.333333333333,1666.66666666667,105821.35,0.00787490741077612,1666.66666666667
2023,2025-07-01,833.333333333333,833.333333333333,1666.66666666667,105794.69,0.0078768918679504,1666.66666666667
2023,2025-08-01,833.333333333333,833.333333333333,1666.66666666667,113478.76,0.00734351814677331,1666.66666666667
2023,2025-09-01,833.333333333333,833.333333333333,1666.66666666667,108596.61,0.0076736588124927,1666.66666666667
2023,2025-10-01,833.333333333333,833.333333333333,1666.66666666667,117739.73,0.00707775814785148,1666.66666666667
2023,2025-11-01,833.333333333333,833.333333333333,1666.66666666667,109769.88,0.00759163928514209,1666.66666666667
2023,2025-12-01,833.333333333333,833.333333333333,1666.66666666667,86355.57,0.00965002411927028,1666.66666666667
2023,2026-01-01,833.333333333333,833.333333333333,1666.66666666667,88448.95,0.00942163059406961,1666.66666666667
2023,2026-02-01,833.333333333333,833.333333333333,1666.66666666667,76840.37,0.0108449937621765,1666.66666666667
2023,2026-03-01,833.333333333333,833.333333333333,1666.66666666667,65676.54,0.0126884475542307,1666.66666666667
2023,2026-04-01,833.333333333333,833.333333333333,1666.66666666667,68256.91,0.0122087761273303,1666.66666666667
2023,2026-05-01,833.333333333333,833.333333333333,1666.66666666667,78106.54,0.0106691876676823,1666.66666666667
2023,2026-06-01,833.333333333333,833.333333333333,1666.66666666667,71338.33,0.0116814247450611,1666.66666666667
2023,2026-07-01,833.333333333333,833.333333333333,1666.66666666667,60246.33,0.0138321011974229,1666.66666666667
2023,2026-08-01,833.333333333333,833.333333333333,1666.66666666667,62583.8,0.0133154799378327,1666.66666666667
2023,2026-09-01,833.333333333333,833.333333333333,1666.66666666667,77225.02,0.0107909759470873,1666.66666666667
2022,2022-01-01,833.333333333333,833.333333333333,1666.66666666667,47332.22,0.0176060479169017,1666.66666666667
2022,2022-02-01,833.333333333333,833.333333333333,1666.66666666667,38755.32,0.0215024242693218,1666.66666666667
2022,2022-03-01,833.333333333333,833.333333333333,1666.66666666667,43883.87,0.0189895133071293,1666.66666666667
2022,2022-04-01,833.333333333333,833.333333333333,1666.66666666667,46231.75,0.0180251306371343,1666.66666666667
2022,2022-05-01,833.333333333333,833.333333333333,1666.66666666667,38446.55,0.0216751134583814,1666.66666666667
