cohort_year,period_start,report_date,opening_btc_held,btc_accumulated_ytd,closing_btc_held,opening_btc_value_usd,opening_cash_value_usd,opening_total_value_usd,btc_contributed_ytd_usd,cash_contributed_ytd_usd,total_contributed_ytd_usd,btc_gain_ytd_usd,cash_interest_ytd_usd,total_gain_ytd_usd,closing_total_value_usd,cash_only_opening_value_usd,cash_only_closing_value_usd,cash_only_gain_ytd_usd,incremental_advantage_ytd_usd
2026,2026-01-01,2026-09-25,0,0.105453017532893,0.105453017532893,0,0,0,7500,7500,15000,1365.87492307345,89.430232156873,1455.30515523032,16455.3051552303,0,15178.8604643137,178.860464313746,1276.44469091658
2025,2026-01-01,2026-09-25,0.100315674843306,0.105453017532893,0.2057686923762,8756.74184422742,10161.4830598176,18918.224904045,7500,7500,15000,1043.09017928689,312.225842203759,1355.31602149065,35273.5409255356,20322.9661196351,35947.4178040426,624.451684407519,730.864337083132
2024,2026-01-01,2026-09-25,0.265563421437386,0.105453017532893,0.371016438970279,23181.5250052333,20627.7417625389,43809.2667677722,7499.99999999999,7499.99999999999,15000,511.374157548595,541.703811005613,1053.07796855421,59862.3447363263,41255.4835250778,57338.891147089,1083.40762201123,-30.3296534570181
2023,2026-01-01,2026-09-25,0.639414015812964,0.105453017532893,0.744867033345857,55815.6387503831,31408.4953620768,87224.1341124599,7500.00000000001,7500.00000000001,15000,-691.561161467776,778.077238076738,86.5160766089612,102310.650189069,62816.9907241536,79373.1452003071,1556.15447615348,-1469.63839954451
2022,2026-01-01,2026-09-25,1.01876305759631,0.105453017532893,1.12421607512921,88929.7221968693,42512.4469133184,131442.169110188,7500.00000000002,7500.00000000002,15000,-1912.18877972365,1021.53694225835,-890.651837465302,145551.517272722,85024.8938266369,102067.967711154,2043.07388451669,-2933.72572198199
